	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0002_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0003_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0005_3_CINE_E.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0006_2_CINE_E&D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d	2014_03_25_CR001_BAREFOOT_GAIT0007_2_CINE_D.c3d
36	0.03014	0.05177	0.01004	0.04675	0.02666	0.03988	0.12961	0.01975	0.08554	0.01708	0.09255	0.01481	0.01188	-0.02005	0.00970	0.14355	0.09693	0.09337	0.12968	0.09124	0.08872	0.08856	0.06390	0.07222	0.15316	0.10066	0.11017	-0.01003	-0.01372	-0.00194	0.10356	0.05810	0.07033	0.11809	0.08079	0.10014
37	0.02444	0.05415	0.00965	0.04727	0.02581	0.04098	0.12663	0.02160	0.08665	0.01671	0.09335	0.01436	0.00212	-0.02108	0.00659	0.14457	0.09904	0.09566	0.13061	0.09286	0.09045	0.08618	0.06409	0.07287	0.14873	0.10081	0.11072	-0.01498	-0.01404	-0.00203	0.09865	0.06060	0.07138	0.11060	0.07994	0.09854
38	0.01799	0.05650	0.00868	0.04799	0.02440	0.04247	0.12344	0.02378	0.08738	0.01664	0.09398	0.01408	-0.00841	-0.02310	0.00241	0.14519	0.10101	0.09797	0.13088	0.09419	0.09205	0.08286	0.06389	0.07336	0.14436	0.10088	0.11132	-0.02048	-0.01475	-0.00258	0.09397	0.06277	0.07235	0.10279	0.07803	0.09620
39	0.01075	0.05870	0.00707	0.04891	0.02241	0.04438	0.12010	0.02592	0.08774	0.01686	0.09448	0.01408	-0.01956	-0.02609	-0.00277	0.14519	0.10259	0.10002	0.13017	0.09517	0.09341	0.07842	0.06324	0.07366	0.14031	0.10093	0.11217	-0.02659	-0.01595	-0.00365	0.08979	0.06459	0.07333	0.09503	0.07543	0.09345
40	0.00282	0.06070	0.00483	0.04996	0.01986	0.04667	0.11672	0.02779	0.08782	0.01723	0.09489	0.01436	-0.03110	-0.02988	-0.00883	0.14452	0.10353	0.10144	0.12853	0.09575	0.09448	0.07290	0.06209	0.07371	0.13670	0.10106	0.11344	-0.03335	-0.01773	-0.00529	0.08623	0.06610	0.07440	0.08760	0.07264	0.09069
41	-0.00566	0.06250	0.00201	0.05103	0.01679	0.04918	0.11342	0.02921	0.08766	0.01751	0.09524	0.01477	-0.04276	-0.03422	-0.01554	0.14312	0.10357	0.10182	0.12610	0.09592	0.09526	0.06650	0.06037	0.07338	0.13363	0.10132	0.11516	-0.04072	-0.02012	-0.00748	0.08337	0.06740	0.07564	0.08088	0.07009	0.08831
42	-0.01451	0.06410	-0.00131	0.05193	0.01324	0.05170	0.11028	0.03001	0.08734	0.01749	0.09553	0.01517	-0.05423	-0.03877	-0.02259	0.14086	0.10244	0.10078	0.12295	0.09570	0.09575	0.05944	0.05797	0.07251	0.13114	0.10179	0.11736	-0.04873	-0.02312	-0.01020	0.08123	0.06868	0.07721	0.07523	0.06811	0.08656
43	-0.02348	0.06546	-0.00499	0.05242	0.00931	0.05396	0.10732	0.03016	0.08695	0.01707	0.09576	0.01557	-0.06506	-0.04307	-0.02951	0.13764	0.09999	0.09805	0.11908	0.09508	0.09593	0.05197	0.05480	0.07093	0.12935	0.10262	0.12001	-0.05734	-0.02669	-0.01349	0.07974	0.07013	0.07924	0.07079	0.06691	0.08558
44	-0.03225	0.06642	-0.00887	0.05232	0.00510	0.05573	0.10445	0.02977	0.08654	0.01635	0.09591	0.01619	-0.07473	-0.04672	-0.03587	0.13336	0.09627	0.09359	0.11452	0.09405	0.09567	0.04430	0.05083	0.06856	0.12829	0.10395	0.12303	-0.06632	-0.03072	-0.01739	0.07876	0.07195	0.08190	0.06731	0.06648	0.08535
45	-0.04047	0.06681	-0.01276	0.05149	0.00073	0.05684	0.10144	0.02910	0.08613	0.01564	0.09589	0.01739	-0.08269	-0.04936	-0.04132	0.12785	0.09142	0.08753	0.10932	0.09253	0.09477	0.03655	0.04612	0.06540	0.12780	0.10582	0.12622	-0.07528	-0.03504	-0.02189	0.07801	0.07424	0.08522	0.06424	0.06663	0.08570
