	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0001_2.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0003_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0004_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0007_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0009_3.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_1.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d	2014_04_03_PC010_BAREFOOT_GAIT0010_4.c3d
27	0.52173	0.14001	0.18472	0.05692	0.02273	0.02162	0.39214	0.11451	0.00302	0.11676	-0.17087	0.15013	0.53881	0.21286	0.03841	0.36416	0.27537	0.04626	-0.15535	-0.29684	-0.24612	0.43349	0.05632	-0.28786	0.52259	0.18521	0.04422	0.68358	0.23565	0.00267	0.56830	0.14078	-0.05822	0.34196	0.10514	0.00562	0.31940	-0.07290	0.03468
28	0.50740	0.13931	0.17774	0.06095	0.02033	0.02309	0.39207	0.11070	0.00492	0.11443	-0.16470	0.14968	0.53274	0.21548	0.03794	0.38180	0.28696	0.05712	-0.14731	-0.28747	-0.24092	0.43998	0.05252	-0.28277	0.50800	0.17718	0.04238	0.66360	0.22634	-0.00241	0.55484	0.13798	-0.05382	0.32524	0.09195	0.00341	0.29677	-0.07571	0.04147
29	0.49566	0.13766	0.16912	0.06605	0.01820	0.02476	0.39179	0.10896	0.00668	0.11151	-0.15876	0.14926	0.53033	0.21570	0.03819	0.39894	0.29848	0.06689	-0.13757	-0.27945	-0.23541	0.44604	0.04870	-0.27727	0.49606	0.16756	0.04043	0.64401	0.21698	-0.00809	0.54055	0.13413	-0.04960	0.31225	0.07625	0.00226	0.27493	-0.07876	0.04793
30	0.48626	0.13586	0.15938	0.07135	0.01659	0.02654	0.39049	0.10868	0.00792	0.10851	-0.15312	0.14889	0.53151	0.21395	0.03927	0.41403	0.30892	0.07593	-0.12746	-0.27271	-0.22991	0.45108	0.04545	-0.27149	0.48642	0.15673	0.03859	0.62525	0.20738	-0.01339	0.52405	0.12842	-0.04534	0.30185	0.05946	0.00190	0.25437	-0.08273	0.05386
31	0.47911	0.13462	0.14934	0.07615	0.01557	0.02827	0.38768	0.10927	0.00817	0.10582	-0.14787	0.14862	0.53600	0.21099	0.04107	0.42579	0.31801	0.08450	-0.11806	-0.26721	-0.22483	0.45512	0.04298	-0.26560	0.47887	0.14538	0.03700	0.60815	0.19768	-0.01758	0.50438	0.11988	-0.04091	0.29342	0.04329	0.00180	0.23509	-0.08846	0.05921
32	0.47432	0.13420	0.13994	0.07998	0.01502	0.02976	0.38326	0.11017	0.00695	0.10385	-0.14309	0.14852	0.54357	0.20784	0.04326	0.43302	0.32591	0.09282	-0.11018	-0.26296	-0.22049	0.45861	0.04123	-0.25966	0.47329	0.13443	0.03571	0.59334	0.18815	-0.02027	0.48131	0.10760	-0.03638	0.28707	0.02937	0.00138	0.21745	-0.09670	0.06403
33	0.47205	0.13455	0.13215	0.08267	0.01473	0.03087	0.37739	0.11079	0.00394	0.10310	-0.13882	0.14863	0.55405	0.20562	0.04539	0.43542	0.33301	0.10105	-0.10434	-0.25993	-0.21707	0.46125	0.03983	-0.25362	0.46969	0.12487	0.03474	0.58124	0.17924	-0.02142	0.45508	0.09100	-0.03194	0.28322	0.01887	0.00019	0.20220	-0.10783	0.06847
34	0.47244	0.13562	0.12675	0.08430	0.01446	0.03159	0.37043	0.11080	-0.00099	0.10406	-0.13499	0.14897	0.56719	0.20529	0.04703	0.43422	0.33940	0.10937	-0.10077	-0.25803	-0.21454	0.46235	0.03831	-0.24740	0.46832	0.11778	0.03410	0.57217	0.17150	-0.02126	0.42608	0.06996	-0.02782	0.28208	0.01244	-0.00203	0.19008	-0.12181	0.07282
35	0.47546	0.13749	0.12429	0.08514	0.01407	0.03201	0.36294	0.11042	-0.00772	0.10703	-0.13149	0.14955	0.58264	0.20749	0.04788	0.43147	0.34473	0.11762	-0.09933	-0.25702	-0.21270	0.46203	0.03637	-0.24093	0.46943	0.11407	0.03377	0.56643	0.16545	-0.02018	0.39490	0.04487	-0.02414	0.28333	0.01017	-0.00518	0.18156	-0.13813	0.07733
36	0.48081	0.14033	0.12496	0.08551	0.01353	0.03222	0.35544	0.10996	-0.01602	0.11173	-0.12815	0.15033	0.59986	0.21243	0.04781	0.42884	0.34843	0.12484	-0.09954	-0.25654	-0.21131	0.46033	0.03394	-0.23421	0.47301	0.11418	0.03373	0.56422	0.16154	-0.01858	0.36269	0.01652	-0.02085	0.28617	0.01168	-0.00884	0.17691	-0.15587	0.08216
