	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0001_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_2.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0002_4.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_1.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d	2014_03_20_PC005_BAREFOOT_GAIT0003_3.c3d
27	0.22857	0.13980	-0.13100	0.05433	-0.11297	0.06593	0.48325	0.05652	-0.03747	0.11844	0.07246	0.02017	0.13118	-0.20019	-0.15483	0.48452	0.09907	0.04933	0.42405	-0.07849	-0.04380	0.53912	-0.09891	0.08645	0.41253	-0.04795	-0.04290	0.42610	-0.11256	0.08159	0.21488	0.05851	-0.16446	-0.14121	-0.09663	-0.18088	0.20926	0.14956	-0.17228	-0.11243	-0.06989	-0.20187
28	0.27253	0.14323	-0.10491	0.06161	-0.11096	0.06619	0.47586	0.05801	-0.02695	0.11457	0.07766	0.02317	0.16903	-0.18531	-0.15852	0.47768	0.10500	0.05098	0.48161	-0.04265	-0.03960	0.53294	-0.08459	0.09271	0.45251	-0.01076	-0.03575	0.41697	-0.10126	0.08929	0.25649	0.10541	-0.13500	-0.11775	-0.09547	-0.17846	0.25899	0.18368	-0.15267	-0.09022	-0.07373	-0.19518
29	0.31788	0.14578	-0.08051	0.06797	-0.10940	0.06678	0.47177	0.05958	-0.01407	0.11141	0.08309	0.02512	0.20942	-0.16960	-0.16237	0.47682	0.11397	0.05412	0.53582	-0.01033	-0.03545	0.52866	-0.06735	0.09892	0.49592	0.02281	-0.02985	0.40982	-0.08883	0.09622	0.30109	0.15488	-0.10906	-0.09419	-0.09476	-0.17658	0.30810	0.21993	-0.13541	-0.06776	-0.07738	-0.18941
30	0.36295	0.14675	-0.05861	0.07310	-0.10800	0.06772	0.46940	0.06027	0.00046	0.10843	0.08863	0.02638	0.25056	-0.15396	-0.16600	0.48035	0.12466	0.05821	0.58514	0.01738	-0.03103	0.52344	-0.04788	0.10528	0.53887	0.05167	-0.02483	0.40440	-0.07540	0.10239	0.34768	0.20638	-0.08780	-0.07103	-0.09452	-0.17522	0.35618	0.25586	-0.12076	-0.04574	-0.08005	-0.18437
31	0.40658	0.14614	-0.03998	0.07695	-0.10659	0.06894	0.46708	0.05976	0.01587	0.10517	0.09427	0.02736	0.29159	-0.13931	-0.16919	0.48652	0.13572	0.06277	0.62958	0.03964	-0.02640	0.51470	-0.02713	0.11206	0.57817	0.07477	-0.02031	0.40002	-0.06099	0.10798	0.39563	0.25835	-0.07118	-0.04908	-0.09467	-0.17425	0.40302	0.28975	-0.10975	-0.02495	-0.08144	-0.17986
32	0.44784	0.14424	-0.02522	0.07969	-0.10522	0.07025	0.46401	0.05932	0.03153	0.10129	0.10004	0.02841	0.33279	-0.12664	-0.17203	0.49380	0.14622	0.06743	0.66935	0.05622	-0.02198	0.50253	-0.00591	0.11940	0.61256	0.09127	-0.01624	0.39570	-0.04571	0.11329	0.44320	0.30825	-0.05834	-0.02932	-0.09503	-0.17347	0.44695	0.32176	-0.10356	-0.00619	-0.08189	-0.17586
33	0.48585	0.14111	-0.01457	0.08160	-0.10409	0.07148	0.45973	0.06020	0.04702	0.09674	0.10588	0.02967	0.37448	-0.11671	-0.17479	0.50108	0.15567	0.07200	0.70355	0.06725	-0.01833	0.48746	0.01517	0.12717	0.64239	0.10100	-0.01270	0.39066	-0.02978	0.11849	0.48762	0.35357	-0.04817	-0.01252	-0.09530	-0.17276	0.48645	0.35290	-0.10256	0.00972	-0.08228	-0.17249
34	0.51961	0.13670	-0.00784	0.08284	-0.10349	0.07250	0.45368	0.06266	0.06204	0.09161	0.11153	0.03108	0.41573	-0.10977	-0.17774	0.50698	0.16396	0.07623	0.73062	0.07311	-0.01599	0.46941	0.03562	0.13475	0.66784	0.10446	-0.00976	0.38465	-0.01346	0.12361	0.52666	0.39248	-0.03966	0.00078	-0.09519	-0.17219	0.52083	0.38313	-0.10598	0.02215	-0.08374	-0.16983
35	0.54796	0.13108	-0.00453	0.08335	-0.10366	0.07326	0.44581	0.06627	0.07632	0.08626	0.11661	0.03239	0.45503	-0.10545	-0.18111	0.50999	0.17129	0.07993	0.74958	0.07456	-0.01533	0.44981	0.05485	0.14127	0.68760	0.10246	-0.00756	0.37764	0.00282	0.12864	0.55910	0.42395	-0.03221	0.01026	-0.09459	-0.17203	0.54961	0.41086	-0.11209	0.03075	-0.08705	-0.16794
36	0.56990	0.12429	-0.00391	0.08302	-0.10471	0.07380	0.43658	0.07003	0.08958	0.08123	0.12081	0.03337	0.49100	-0.10316	-0.18495	0.50898	0.17812	0.08295	0.75963	0.07281	-0.01641	0.43158	0.07214	0.14596	0.70012	0.09622	-0.00626	0.36918	0.01849	0.13351	0.58377	0.44787	-0.02586	0.01587	-0.09371	-0.17262	0.57271	0.43420	-0.11866	0.03540	-0.09216	-0.16682
