	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
27	0.59732	0.07457	-0.67760	0.09006	0.70078	0.03420	0.59768	0.23213	-0.69935	0.13347	0.78115	0.06064	0.76918	-0.76620	0.75317	0.54359	-0.72723	0.75165	0.39846	-0.65051	0.79467	0.82622	-0.84270	0.85896	0.52277	-0.59543	0.69006	0.66406	-0.60846	0.68149	0.39686	-0.53798	0.71783	0.65884	-0.77926	0.67993
28	0.56491	0.06907	-0.67540	0.08319	0.72388	0.04044	0.57859	0.22965	-0.69386	0.13459	0.79201	0.05889	0.74721	-0.77359	0.76633	0.51242	-0.71943	0.78299	0.38760	-0.63709	0.80297	0.80548	-0.83155	0.86835	0.49913	-0.59476	0.71662	0.63491	-0.61738	0.70075	0.37406	-0.53320	0.73040	0.61320	-0.77003	0.69515
29	0.52841	0.06451	-0.66945	0.07569	0.74943	0.04538	0.56038	0.22822	-0.68353	0.13639	0.80354	0.05789	0.72497	-0.77730	0.78022	0.47546	-0.71008	0.81490	0.37675	-0.61931	0.81126	0.78814	-0.81445	0.87964	0.47360	-0.59126	0.74467	0.60315	-0.62221	0.72280	0.35167	-0.52306	0.74304	0.56143	-0.75424	0.71535
30	0.48641	0.06261	-0.66092	0.06772	0.77632	0.04840	0.54028	0.22709	-0.66943	0.13897	0.81585	0.05757	0.70152	-0.77736	0.79491	0.43322	-0.70031	0.84566	0.36045	-0.59863	0.81983	0.76890	-0.79333	0.89269	0.44165	-0.58597	0.77306	0.56801	-0.62413	0.74687	0.33027	-0.50842	0.75599	0.50276	-0.73329	0.73969
31	0.43936	0.06272	-0.65062	0.05959	0.80347	0.04916	0.51453	0.22465	-0.65234	0.14213	0.82881	0.05780	0.67318	-0.77367	0.81002	0.38873	-0.69075	0.87378	0.33469	-0.57586	0.82897	0.74154	-0.76960	0.90702	0.40350	-0.57994	0.80082	0.52850	-0.62359	0.77210	0.30872	-0.49023	0.76922	0.43672	-0.70820	0.76719
32	0.38940	0.06377	-0.63923	0.05165	0.82994	0.04761	0.48097	0.22043	-0.63280	0.14530	0.84209	0.05842	0.63808	-0.76619	0.82497	0.34539	-0.68177	0.89812	0.29983	-0.55158	0.83881	0.70272	-0.74380	0.92203	0.36362	-0.57441	0.82724	0.48414	-0.62085	0.79768	0.28324	-0.46963	0.78254	0.36446	-0.67989	0.79673
33	0.33856	0.06582	-0.62726	0.04467	0.85498	0.04388	0.44002	0.21507	-0.61128	0.14783	0.85533	0.05929	0.59743	-0.75508	0.83922	0.30430	-0.67321	0.91794	0.25906	-0.52641	0.84930	0.65300	-0.71588	0.93713	0.32575	-0.57029	0.85193	0.43473	-0.61592	0.82290	0.25061	-0.44775	0.79567	0.28948	-0.64962	0.82716
34	0.28710	0.06979	-0.61497	0.03968	0.87810	0.03829	0.39447	0.20996	-0.58824	0.14933	0.86821	0.06019	0.55355	-0.74056	0.85244	0.26363	-0.66434	0.93292	0.21658	-0.50112	0.86014	0.59768	-0.68597	0.95179	0.28910	-0.56772	0.87486	0.38098	-0.60886	0.84721	0.21005	-0.42529	0.80846	0.21470	-0.61895	0.85740
35	0.23449	0.07596	-0.60276	0.03752	0.89907	0.03133	0.34772	0.20724	-0.56418	0.14981	0.88053	0.06094	0.50919	-0.72314	0.86459	0.22155	-0.65493	0.94327	0.17481	-0.47618	0.87095	0.54424	-0.65478	0.96564	0.25033	-0.56646	0.89618	0.32493	-0.60021	0.87038	0.16263	-0.40259	0.82095	0.14115	-0.58944	0.88643
36	0.18128	0.08342	-0.59145	0.03804	0.91782	0.02368	0.30220	0.20820	-0.53977	0.14972	0.89219	0.06133	0.46674	-0.70382	0.87596	0.17832	-0.64539	0.94960	0.13420	-0.45178	0.88126	0.49724	-0.62362	0.97833	0.20866	-0.56701	0.91599	0.26863	-0.59083	0.89235	0.11062	-0.37987	0.83320	0.06953	-0.56257	0.91336
