	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0004_5.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_2.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0006_3.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0007_1.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d	2014_05_30_PC018_BAREFOOT_GAIT0005_4.c3d
39	0.04851	0.01607	0.00459	0.00554	-0.00167	0.00805	0.10737	0.03625	0.03363	0.01027	0.01584	0.02294	0.06819	0.01981	-0.01596	0.03133	-0.00006	-0.00714	0.13656	0.03839	0.03518	0.08493	0.04371	0.01447	0.04738	0.00693	0.00328	0.04519	0.00015	-0.00978	0.13980	0.03260	0.02968	0.07013	0.01132	0.00694
40	0.04831	0.01082	0.00596	0.00549	0.00053	0.00830	0.11039	0.03794	0.03620	0.00860	0.02145	0.02235	0.07056	0.02505	-0.00869	0.03712	0.00207	-0.00571	0.14182	0.04118	0.04085	0.08537	0.04447	0.01797	0.05185	0.00855	0.00564	0.04254	0.00080	-0.00729	0.14382	0.03409	0.03566	0.06172	0.01243	0.00949
41	0.05013	0.00865	0.00740	0.00542	0.00218	0.00844	0.11479	0.03970	0.03928	0.00731	0.02736	0.02176	0.07467	0.03087	-0.00100	0.04325	0.00407	-0.00483	0.14911	0.04453	0.04671	0.08667	0.04619	0.02184	0.05884	0.01034	0.00736	0.04217	0.00175	-0.00518	0.14869	0.03553	0.04191	0.05627	0.01343	0.01134
42	0.05328	0.00990	0.00872	0.00528	0.00319	0.00842	0.12033	0.04169	0.04279	0.00660	0.03344	0.02115	0.08069	0.03718	0.00709	0.04840	0.00568	-0.00442	0.15808	0.04834	0.05270	0.08799	0.04866	0.02576	0.06681	0.01217	0.00849	0.04398	0.00294	-0.00351	0.15456	0.03697	0.04820	0.05394	0.01411	0.01222
43	0.05674	0.01186	0.00973	0.00505	0.00360	0.00817	0.12681	0.04400	0.04656	0.00668	0.03948	0.02054	0.08852	0.04386	0.01552	0.05153	0.00660	-0.00435	0.16802	0.05238	0.05869	0.08903	0.05164	0.02939	0.07403	0.01376	0.00910	0.04733	0.00428	-0.00239	0.16166	0.03836	0.05432	0.05406	0.01428	0.01203
44	0.05943	0.01306	0.01019	0.00471	0.00347	0.00772	0.13401	0.04649	0.05037	0.00758	0.04527	0.01999	0.09749	0.05071	0.02414	0.05199	0.00667	-0.00443	0.17819	0.05634	0.06452	0.09037	0.05485	0.03243	0.07883	0.01471	0.00934	0.05138	0.00560	-0.00184	0.16999	0.03958	0.06001	0.05550	0.01377	0.01080
45	0.06043	0.01353	0.00992	0.00434	0.00291	0.00716	0.14151	0.04867	0.05398	0.00910	0.05066	0.01964	0.10654	0.05749	0.03268	0.04943	0.00584	-0.00455	0.18765	0.05991	0.07004	0.09295	0.05811	0.03484	0.08015	0.01474	0.00935	0.05514	0.00667	-0.00188	0.17889	0.04042	0.06508	0.05701	0.01242	0.00873
46	0.05916	0.01406	0.00882	0.00407	0.00204	0.00666	0.14858	0.05004	0.05718	0.01111	0.05553	0.01947	0.11459	0.06400	0.04084	0.04383	0.00422	-0.00468	0.19531	0.06282	0.07511	0.09696	0.06132	0.03687	0.07792	0.01376	0.00921	0.05754	0.00720	-0.00246	0.18743	0.04059	0.06932	0.05735	0.01010	0.00608
47	0.05531	0.01505	0.00690	0.00399	0.00092	0.00638	0.15478	0.05030	0.05979	0.01355	0.05986	0.01934	0.12141	0.07002	0.04838	0.03578	0.00204	-0.00490	0.20072	0.06483	0.07955	0.10220	0.06448	0.03888	0.07244	0.01180	0.00890	0.05751	0.00694	-0.00349	0.19478	0.03983	0.07262	0.05549	0.00680	0.00317
48	0.04897	0.01592	0.00424	0.00401	-0.00042	0.00636	0.15992	0.04943	0.06166	0.01635	0.06367	0.01909	0.12715	0.07534	0.05525	0.02659	-0.00041	-0.00539	0.20409	0.06582	0.08327	0.10817	0.06753	0.04110	0.06406	0.00896	0.00830	0.05425	0.00568	-0.00492	0.20025	0.03794	0.07503	0.05097	0.00274	0.00032
