	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
27	0.31456	0.07528	0.18466	0.12322	0.21721	0.04056	0.23537	0.08858	0.22429	0.07325	0.20810	0.06058	0.28812	0.09284	0.19072	0.39950	0.32470	0.19701	0.16022	0.14019	0.18864	0.36761	0.25694	0.26104	0.21684	0.31338	0.19795	0.15625	0.15710	0.27102	0.27591	0.25384	0.12186	0.25607	0.13645	0.26390
28	0.32670	0.06830	0.20149	0.12169	0.22170	0.04027	0.23947	0.08215	0.23126	0.06923	0.20860	0.06744	0.30242	0.10766	0.19329	0.40382	0.33899	0.20402	0.18563	0.13862	0.18703	0.36859	0.26426	0.26882	0.20365	0.31219	0.19427	0.16797	0.18372	0.27891	0.27152	0.25751	0.11398	0.27387	0.15781	0.26779
29	0.33588	0.05424	0.21715	0.11625	0.22557	0.03997	0.23703	0.06446	0.23539	0.06481	0.20926	0.06825	0.31584	0.12415	0.19596	0.39728	0.34748	0.20972	0.20786	0.13975	0.18654	0.33601	0.25260	0.26803	0.19445	0.31229	0.19192	0.17989	0.20926	0.28414	0.26696	0.26304	0.11568	0.29451	0.17981	0.27104
30	0.34148	0.03418	0.22870	0.10341	0.22548	0.04179	0.23466	0.05484	0.24109	0.06125	0.21218	0.06879	0.32741	0.14150	0.19863	0.38045	0.34294	0.20418	0.22566	0.14473	0.18754	0.31675	0.25517	0.27527	0.18115	0.31164	0.19113	0.19206	0.23154	0.28638	0.25768	0.26239	0.12056	0.31658	0.20165	0.27364
31	0.35083	0.02348	0.24295	0.09584	0.22787	0.04147	0.22830	0.04878	0.24311	0.05780	0.21314	0.07312	0.33662	0.15883	0.20114	0.37793	0.34728	0.20683	0.23882	0.15398	0.19002	0.30313	0.25787	0.28466	0.17186	0.31493	0.19236	0.20371	0.24883	0.28572	0.22398	0.23991	0.11296	0.33793	0.22275	0.27564
32	0.35653	0.01334	0.25392	0.08468	0.22905	0.04164	0.22315	0.04148	0.24492	0.05724	0.21333	0.07341	0.34308	0.17527	0.20332	0.36975	0.34356	0.20673	0.24794	0.16723	0.19368	0.28043	0.24909	0.28666	0.17544	0.32469	0.19358	0.21371	0.26011	0.28247	0.19824	0.22346	0.11026	0.35674	0.24292	0.27709
33	0.35684	0.01322	0.26148	0.07110	0.22730	0.04398	0.22140	0.04960	0.24887	0.05545	0.21322	0.07434	0.34633	0.19008	0.20504	0.35251	0.33227	0.19890	0.25408	0.18353	0.19806	0.28555	0.26340	0.29407	0.17146	0.32520	0.18632	0.22100	0.26497	0.27708	0.17491	0.20724	0.11057	0.37169	0.26209	0.27796
34	0.36036	0.01890	0.27411	0.06859	0.22664	0.04491	0.21285	0.05918	0.24555	0.05416	0.20889	0.07538	0.34626	0.20278	0.20624	0.35299	0.33959	0.19555	0.25827	0.20155	0.20258	0.27790	0.26118	0.29160	0.15918	0.31848	0.17672	0.22457	0.26355	0.26997	0.14433	0.18300	0.10361	0.38183	0.27997	0.27813
35	0.36321	0.02201	0.28450	0.06633	0.22485	0.04626	0.20397	0.05925	0.24132	0.05229	0.20383	0.07268	0.34336	0.21322	0.20687	0.35940	0.34442	0.19028	0.26129	0.21984	0.20664	0.25265	0.24206	0.27859	0.14877	0.31567	0.17529	0.22358	0.25639	0.26153	0.13357	0.17262	0.09711	0.38687	0.29585	0.27741
36	0.36272	0.02444	0.29324	0.06548	0.22342	0.04621	0.19793	0.06165	0.24031	0.05295	0.20181	0.07162	0.33848	0.22136	0.20689	0.36232	0.34951	0.18775	0.26370	0.23707	0.20971	0.24241	0.23666	0.27651	0.13781	0.31644	0.17725	0.21773	0.24437	0.25213	0.12798	0.16699	0.09346	0.38735	0.30884	0.27561
37	0.36101	0.02629	0.30297	0.06936	0.22322	0.04354	0.19337	0.06666	0.23894	0.05627	0.19841	0.07488	0.33250	0.22724	0.20625	0.36625	0.36341	0.19071	0.26591	0.25220	0.21136	0.24482	0.23879	0.28038	0.12929	0.31624	0.17396	0.20792	0.22857	0.24212	0.11889	0.15890	0.08424	0.38428	0.31826	0.27268
38	0.36250	0.03160	0.30832	0.07083	0.21972	0.04356	0.18209	0.06701	0.22991	0.06165	0.18885	0.07513	0.32609	0.23106	0.20499	0.38279	0.37019	0.18544	0.26815	0.26449	0.21136	0.21990	0.21500	0.26620	0.12552	0.31176	0.16226	0.19121	0.21025	0.23191	0.10565	0.14805	0.07254	0.37861	0.32371	0.26873
39	0.36265	0.03945	0.31293	0.07448	0.21665	0.04233	0.16691	0.06840	0.22085	0.06670	0.18270	0.07293	0.31963	0.23315	0.20327	0.39712	0.38065	0.18263	0.27048	0.27349	0.20966	0.17898	0.18925	0.25768	0.11727	0.30626	0.15331	0.17392	0.19071	0.22200	0.09391	0.14454	0.07083	0.37119	0.32499	0.26405
40	0.35918	0.04430	0.31761	0.08164	0.21627	0.03753	0.15587	0.07291	0.21478	0.07173	0.17916	0.07037	0.31326	0.23387	0.20131	0.40165	0.39697	0.18853	0.27260	0.27897	0.20639	0.16047	0.17776	0.25466	0.10575	0.30379	0.14915	0.15608	0.17116	0.21288	0.08442	0.14223	0.07273	0.36263	0.32197	0.25898
41	0.35486	0.04862	0.31865	0.08722	0.21632	0.03255	0.13920	0.08006	0.20390	0.08235	0.17195	0.06758	0.30716	0.23357	0.19938	0.40436	0.40785	0.19573	0.27395	0.28095	0.20184	0.12238	0.14910	0.24008	0.09752	0.30541	0.14545	0.13680	0.15261	0.20500	0.06534	0.13143	0.06737	0.35308	0.31453	0.25385
42	0.35091	0.05413	0.31736	0.09307	0.21482	0.02958	0.12002	0.09061	0.19164	0.09323	0.16346	0.06555	0.30194	0.23264	0.19774	0.40904	0.41698	0.19774	0.27395	0.27972	0.19640	0.07639	0.11688	0.22291	0.09385	0.30616	0.13936	0.11680	0.13581	0.19878	0.03909	0.11963	0.05984	0.34175	0.30247	0.24897
43	0.34712	0.05979	0.31378	0.09880	0.21229	0.02797	0.10932	0.09554	0.18577	0.09602	0.15867	0.06407	0.29882	0.23157	0.19658	0.41399	0.42338	0.19571	0.27205	0.27581	0.19050	0.06503	0.11099	0.21742	0.09091	0.30474	0.13210	0.09623	0.12114	0.19449	0.02237	0.11615	0.05885	0.32854	0.28638	0.24459
44	0.34651	0.06861	0.31001	0.10655	0.21154	0.02544	0.09430	0.10243	0.17719	0.10134	0.15314	0.05968	0.29924	0.23081	0.19603	0.42520	0.43116	0.19770	0.26805	0.26991	0.18456	0.02777	0.08710	0.20254	0.08926	0.30368	0.12561	0.07562	0.10883	0.19223	0.01079	0.11640	0.06077	0.31509	0.26807	0.24090
45	0.35441	0.08791	0.31083	0.12273	0.21471	0.02136	0.08423	0.10843	0.17340	0.10364	0.14887	0.06025	0.30377	0.23055	0.19607	0.45591	0.45211	0.21003	0.26219	0.26286	0.17894	0.00847	0.08426	0.19794	0.10247	0.30723	0.11852	0.05586	0.09912	0.19192	-0.00784	0.11351	0.05703	0.30354	0.24984	0.23802
46	0.36232	0.10294	0.31074	0.13646	0.21505	0.01975	0.07851	0.11411	0.17340	0.10424	0.14592	0.06102	0.31138	0.23056	0.19656	0.48081	0.46831	0.21275	0.25509	0.25550	0.17387	-0.00107	0.08722	0.19636	0.12552	0.31367	0.10980	0.03804	0.09213	0.19325	-0.02504	0.11849	0.05635	0.29479	0.23336	0.23585
47	0.36908	0.11397	0.30950	0.14670	0.21380	0.01872	0.07979	0.11379	0.17481	0.10268	0.14266	0.05936	0.32018	0.23047	0.19726	0.49934	0.47877	0.21001	0.24732	0.24853	0.16943	-0.00200	0.08830	0.18793	0.14711	0.31609	0.09909	0.02324	0.08781	0.19560	-0.01670	0.13330	0.06125	0.28773	0.21925	0.23413
48	0.37639	0.12703	0.31168	0.16135	0.21775	0.01777	0.08397	0.11221	0.17543	0.09534	0.13562	0.06209	0.32857	0.23002	0.19801	0.52039	0.49754	0.22281	0.23954	0.24249	0.16561	0.01440	0.09713	0.17426	0.16648	0.30525	0.08651	0.01234	0.08575	0.19805	-0.01290	0.14652	0.05365	0.28021	0.20747	0.23244
49	0.37050	0.12258	0.31541	0.17735	0.22487	0.02388	0.09050	0.10759	0.17529	0.08432	0.12902	0.06371	0.33536	0.22936	0.19873	0.50681	0.51936	0.24554	0.23256	0.23772	0.16229	0.03046	0.10388	0.15990	0.17942	0.28147	0.07147	0.00580	0.08517	0.19936	0.00428	0.16824	0.05210	0.26934	0.19750	0.23035
50	0.35777	0.11569	0.31681	0.18810	0.23199	0.03502	0.10683	0.09445	0.17868	0.07068	0.12305	0.06963	0.33953	0.22907	0.19951	0.48149	0.53274	0.26909	0.22702	0.23425	0.15922	0.07727	0.12979	0.15996	0.18239	0.25322	0.05673	0.00316	0.08493	0.19810	0.04433	0.19123	0.04124	0.25229	0.18860	0.22737
51	0.34347	0.11731	0.31354	0.18932	0.23501	0.04187	0.12243	0.08399	0.18019	0.06402	0.11574	0.07195	0.34071	0.23008	0.20052	0.46213	0.53025	0.28159	0.22292	0.23172	0.15607	0.12522	0.14577	0.15107	0.17347	0.22795	0.04971	0.00285	0.08383	0.19285	0.08771	0.21166	0.02899	0.22757	0.18028	0.22293
