	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0002_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0003_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0006_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0007_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_1.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d	2015_11_17_PC026_BAREFOOT_WALK0008_2.c3d
30	0.12760	0.00530	-0.00429	0.03209	0.02078	0.02201	0.18336	0.09336	0.06319	0.07510	0.09909	0.05383	0.12576	0.00341	0.04029	0.13357	-0.03953	-0.00307	0.11715	0.01717	0.07567	0.17490	0.02804	0.08540	0.26444	0.10966	0.12715	0.07103	-0.01014	0.03282	0.28927	0.17121	0.17442	0.12346	0.02326	0.02513
31	0.12953	0.00443	-0.00497	0.03194	0.02296	0.02186	0.17918	0.08350	0.06156	0.07093	0.09653	0.04914	0.12519	0.00203	0.04235	0.13404	-0.03983	-0.00073	0.12718	0.01898	0.07552	0.16605	0.02715	0.08244	0.26141	0.10781	0.12445	0.07549	-0.00826	0.03603	0.26577	0.16212	0.16421	0.12935	0.02289	0.02726
32	0.12916	0.00548	-0.00615	0.03277	0.02430	0.02307	0.17589	0.08038	0.06101	0.06916	0.09519	0.04701	0.12330	0.00081	0.04430	0.13000	-0.04184	-0.00094	0.13402	0.02093	0.07592	0.14918	0.02264	0.07643	0.26788	0.11092	0.12775	0.07860	-0.00582	0.03858	0.24973	0.15639	0.15727	0.13418	0.02258	0.02954
33	0.12758	0.00874	-0.00692	0.03314	0.02583	0.02404	0.17479	0.07382	0.06203	0.06371	0.09492	0.04258	0.12031	-0.00020	0.04608	0.12515	-0.04290	-0.00073	0.13822	0.02290	0.07663	0.15918	0.03374	0.08449	0.26306	0.10667	0.12290	0.08002	-0.00293	0.04040	0.23349	0.14974	0.15016	0.13727	0.02235	0.03215
34	0.12957	0.01162	-0.00630	0.03145	0.02968	0.02123	0.16622	0.06646	0.05894	0.05867	0.09033	0.03821	0.11640	-0.00107	0.04764	0.13393	-0.04004	0.00625	0.14036	0.02478	0.07740	0.14838	0.03008	0.07791	0.25002	0.09832	0.11366	0.07965	0.00026	0.04148	0.21272	0.14126	0.14121	0.13839	0.02222	0.03517
35	0.13037	0.01616	-0.00566	0.02988	0.03344	0.01858	0.15969	0.06488	0.05805	0.05625	0.08800	0.03680	0.11184	-0.00190	0.04893	0.14157	-0.03725	0.01284	0.14102	0.02645	0.07798	0.13223	0.02693	0.07178	0.24362	0.09598	0.11157	0.07763	0.00357	0.04192	0.20395	0.13731	0.13674	0.13770	0.02216	0.03854
36	0.13033	0.02130	-0.00519	0.02851	0.03721	0.01568	0.15598	0.06429	0.05863	0.05383	0.08725	0.03589	0.10686	-0.00280	0.04990	0.14844	-0.03482	0.01968	0.14075	0.02783	0.07816	0.12675	0.02861	0.07083	0.24058	0.09609	0.11231	0.07473	0.00680	0.04181	0.19708	0.13382	0.13315	0.13570	0.02205	0.04204
37	0.13081	0.02812	-0.00534	0.02784	0.04099	0.01230	0.15019	0.06257	0.05668	0.04999	0.08391	0.03342	0.10164	-0.00390	0.05049	0.15774	-0.03387	0.02710	0.14003	0.02890	0.07782	0.12232	0.02689	0.06705	0.23335	0.09045	0.10722	0.06912	0.00979	0.04128	0.18613	0.12737	0.12617	0.13305	0.02175	0.04540
38	0.12788	0.03040	-0.00834	0.03106	0.04160	0.01375	0.14504	0.05510	0.05324	0.04656	0.07892	0.03127	0.09638	-0.00528	0.05069	0.15704	-0.04081	0.02578	0.13917	0.02962	0.07689	0.10710	0.02294	0.06050	0.22040	0.07778	0.09522	0.08186	0.01244	0.04042	0.17665	0.12343	0.12157	0.13022	0.02108	0.04832
39	0.12533	0.03305	-0.01211	0.03475	0.04193	0.01491	0.13799	0.05673	0.05194	0.04484	0.07613	0.03116	0.09130	-0.00704	0.05053	0.15730	-0.04912	0.02470	0.13827	0.02999	0.07537	0.08819	0.02015	0.05420	0.21519	0.07489	0.09391	0.07913	0.01467	0.03936	0.16914	0.12002	0.11778	0.12740	0.01982	0.05054
