	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0002_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_01.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0003_03.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d	2014_06_24_PC021_BAREFOOT_GAIT0004_05.c3d
	LHIP_MF_N	LHIP_MF_N	LKNEE_MF_N	LKNEE_MF_N	LANKLE_MF_N	LANKLE_MF_N	RHIP_MF_N	RHIP_MF_N	RKNEE_MF_N	RKNEE_MF_N	RANKLE_MF_N	RANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	LHIP_MF_N	LKNEE_MF_N	LANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N	RHIP_MF_N	RKNEE_MF_N	RANKLE_MF_N
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
35	0.28560	0.04711	0.14338	0.04559	-0.01234	0.05957	0.49594	0.13202	0.11716	0.18483	-0.07123	0.17224	0.31891	0.17562	0.02978	0.25229	0.11114	-0.05446	0.40259	-0.01353	-0.19302	0.58929	0.24785	0.05057
36	0.28880	0.04942	0.14903	0.04643	-0.01526	0.06210	0.49492	0.12872	0.11737	0.18483	-0.07066	0.17612	0.32375	0.18186	0.02865	0.25385	0.11621	-0.05917	0.40390	-0.01332	-0.19519	0.58594	0.24807	0.05387
37	0.29064	0.05121	0.15485	0.04632	-0.01839	0.06451	0.49346	0.12592	0.11761	0.18712	-0.06994	0.18035	0.32685	0.18761	0.02722	0.25443	0.12210	-0.06401	0.40443	-0.01470	-0.19747	0.58250	0.24992	0.05758
38	0.29074	0.05203	0.16076	0.04540	-0.02142	0.06666	0.49186	0.12390	0.11842	0.19161	-0.06890	0.18487	0.32753	0.19287	0.02571	0.25395	0.12866	-0.06856	0.40425	-0.01707	-0.19962	0.57947	0.25390	0.06183
39	0.28845	0.05165	0.16677	0.04394	-0.02401	0.06837	0.49023	0.12328	0.12072	0.19841	-0.06736	0.18950	0.32497	0.19784	0.02433	0.25192	0.13570	-0.07236	0.40306	-0.01957	-0.20136	0.57740	0.26101	0.06664
40	0.28314	0.04989	0.17275	0.04216	-0.02580	0.06950	0.48885	0.12308	0.12529	0.20692	-0.06512	0.19394	0.31842	0.20256	0.02335	0.24787	0.14293	-0.07495	0.40182	-0.02103	-0.20226	0.57588	0.27161	0.07201
41	0.27470	0.04671	0.17837	0.04018	-0.02646	0.07005	0.48726	0.12266	0.13236	0.21597	-0.06196	0.19786	0.30773	0.20678	0.02307	0.24168	0.14996	-0.07599	0.40052	-0.02035	-0.20187	0.57399	0.28508	0.07794
42	0.26287	0.04228	0.18314	0.03813	-0.02575	0.07010	0.48532	0.12206	0.14205	0.22429	-0.05771	0.20093	0.29276	0.21011	0.02381	0.23297	0.15618	-0.07532	0.39901	-0.01654	-0.19979	0.57162	0.30065	0.08438
43	0.24746	0.03703	0.18674	0.03603	-0.02359	0.06985	0.48314	0.12152	0.15449	0.23090	-0.05231	0.20277	0.27364	0.21222	0.02580	0.22127	0.16126	-0.07298	0.39721	-0.00878	-0.19569	0.56906	0.31776	0.09107
44	0.22914	0.03158	0.18923	0.03379	-0.02007	0.06952	0.48114	0.12076	0.16966	0.23499	-0.04591	0.20300	0.25148	0.21312	0.02909	0.20681	0.16534	-0.06923	0.39575	0.00350	-0.18945	0.56652	0.33582	0.09763
45	0.20918	0.02619	0.19113	0.03130	-0.01543	0.06936	0.47996	0.11924	0.18711	0.23587	-0.03876	0.20135	0.22770	0.21327	0.03361	0.19066	0.16900	-0.06447	0.39564	0.02033	-0.18113	0.56427	0.35390	0.10361
46	0.18930	0.02047	0.19315	0.02852	-0.01002	0.06953	0.47964	0.11676	0.20570	0.23301	-0.03114	0.19781	0.20378	0.21331	0.03915	0.17483	0.17298	-0.05918	0.39708	0.04094	-0.17101	0.56220	0.37046	0.10873
47	0.17157	0.01413	0.19571	0.02541	-0.00415	0.06999	0.47910	0.11230	0.22369	0.22591	-0.02330	0.19258	0.18155	0.21368	0.04535	0.16158	0.17774	-0.05364	0.39969	0.06395	-0.15948	0.55851	0.38343	0.11287
48	0.15709	0.00772	0.19866	0.02217	0.00206	0.07051	0.47654	0.10445	0.23940	0.21428	-0.01551	0.18597	0.16254	0.21433	0.05192	0.15163	0.18299	-0.04780	0.40268	0.08788	-0.14702	0.55040	0.39092	0.11599
49	0.14508	0.00292	0.20115	0.01930	0.00880	0.07071	0.47017	0.09211	0.25171	0.19820	-0.00801	0.17806	0.14715	0.21480	0.05880	0.14302	0.18750	-0.04119	0.40504	0.11156	-0.13392	0.53530	0.39185	0.11790
50	0.13365	0.00067	0.20191	0.01733	0.01658	0.07017	0.45800	0.07483	0.25987	0.17805	-0.00099	0.16845	0.13412	0.21417	0.06619	0.13317	0.18965	-0.03304	0.40509	0.13397	-0.12010	0.51091	0.38577	0.11812
51	0.12092	0.00012	0.19961	0.01633	0.02593	0.06855	0.43782	0.05298	0.26336	0.15466	0.00530	0.15620	0.12101	0.21116	0.07440	0.12083	0.18806	-0.02254	0.40036	0.15400	-0.10515	0.47529	0.37273	0.11575
52	0.10596	0.00072	0.19311	0.01613	0.03716	0.06554	0.40819	0.02838	0.26180	0.12980	0.01047	0.14012	0.10648	0.20452	0.08350	0.10545	0.18171	-0.00918	0.38813	0.17001	-0.08861	0.42826	0.35358	0.10955
53	0.08876	0.00287	0.18178	0.01646	0.05006	0.06096	0.36954	0.00439	0.25508	0.10565	0.01401	0.11935	0.09079	0.19342	0.09317	0.08674	0.17014	0.00696	0.36644	0.18038	-0.07038	0.37264	0.32979	0.09841
54	0.07003	0.00645	0.16558	0.01685	0.06370	0.05480	0.32450	0.01561	0.24360	0.08390	0.01540	0.09407	0.07459	0.17749	0.10245	0.06548	0.15366	0.02495	0.33554	0.18428	-0.05112	0.31347	0.30293	0.08192
55	0.05102	0.01072	0.14507	0.01674	0.07629	0.04726	0.27621	0.02878	0.22814	0.06550	0.01419	0.06602	0.05860	0.15691	0.10971	0.04344	0.13324	0.04287	0.29656	0.18183	-0.03249	0.25586	0.27446	0.06088
56	0.03267	0.01528	0.12126	0.01587	0.08539	0.03887	0.22758	0.03515	0.20976	0.05045	0.01026	0.03834	0.04348	0.13248	0.11288	0.02187	0.11004	0.05791	0.25244	0.17409	-0.01686	0.20273	0.24543	0.03737
57	0.01494	0.02012	0.09558	0.01435	0.08854	0.03044	0.17988	0.03682	0.18922	0.03803	0.00375	0.01471	0.02917	0.10573	0.11006	0.00072	0.08543	0.06701	0.20592	0.16232	-0.00665	0.15384	0.21611	0.01415
58	-0.00219	0.02506	0.07017	0.01277	0.08430	0.02281	0.13392	0.03567	0.16750	0.02717	-0.00474	0.00211	0.01553	0.07920	0.10043	-0.01991	0.06114	0.06817	0.15914	0.14829	-0.00324	0.10870	0.18671	-0.00623
59	-0.01736	0.02886	0.04760	0.01169	0.07328	0.01637	0.09114	0.03102	0.14575	0.01698	-0.01418	0.01130	0.00304	0.05587	0.08486	-0.03776	0.03934	0.06170	0.11308	0.13374	-0.00618	0.06921	0.15776	-0.02217
60	-0.02886	0.03024	0.02965	0.01116	0.05790	0.01107	0.05459	0.02088	0.12491	0.00717	-0.02337	0.01408	-0.00748	0.03754	0.06573	-0.05025	0.02176	0.05007	0.06935	0.11984	-0.01342	0.03982	0.12999	-0.03333
61	-0.03812	0.02913	0.01644	0.01112	0.04135	0.00697	0.02707	0.00289	0.10557	0.00148	-0.03124	0.01280	-0.01752	0.02431	0.04628	-0.05871	0.00858	0.03642	0.02912	0.10661	-0.02219	0.02503	0.10452	-0.04029
62	-0.04722	0.02653	0.00683	0.01106	0.02618	0.00405	-0.01633	0.01430	0.05536	0.05376	-0.01600	0.02019	-0.02846	0.01464	0.02904	-0.06598	-0.00099	0.02332	-0.00622	0.09337	-0.03027	-0.02644	0.01734	-0.00173
63	-0.05872	0.01882	0.00038	0.01099	0.01445	0.00299	-0.02146	0.01868	0.04859	0.04315	-0.01927	0.02452	-0.04542	0.00815	0.01656	-0.07203	-0.00739	0.01234	-0.03466	0.07910	-0.03661	-0.00825	0.01808	-0.00194
