	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_1_CINE_R.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0001_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0002_1_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0003_2_CINE_D (ver RTOE).c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_2_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_3_CINE_D.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d	2014_04_22_PC015_BAREFOOT_GAIT0004_4_CINE_E.c3d
27	0.54610	0.12682	-0.29214	0.06872	0.53069	0.04759	0.52534	0.11897	-0.42212	0.10661	0.53356	0.04811	0.37387	-0.25829	0.60678	0.52706	-0.36010	0.51811	0.45308	-0.21895	0.55871	0.49531	-0.41612	0.50653	0.70279	-0.54074	0.50037	0.55261	-0.48775	0.49561	0.47376	-0.24906	0.46945	0.50210	-0.40772	0.55851	0.73050	-0.34046	0.57651
28	0.51253	0.15530	-0.30234	0.08036	0.51961	0.04685	0.51528	0.10997	-0.42647	0.10089	0.51187	0.05993	0.38700	-0.27471	0.60959	0.46789	-0.35590	0.51859	0.41341	-0.21730	0.53740	0.46912	-0.41558	0.48595	0.68224	-0.54253	0.46891	0.54972	-0.48855	0.46675	0.42599	-0.25186	0.45587	0.48834	-0.41097	0.52817	0.74284	-0.38432	0.56657
29	0.36965	0.04490	-0.25221	0.06199	0.51272	0.04294	0.50010	0.10312	-0.42028	0.09455	0.49868	0.07186	0.39172	-0.28060	0.61923	0.41237	-0.34165	0.52532	0.37801	-0.21090	0.52637	0.44020	-0.40610	0.47417	0.65758	-0.53181	0.44609	0.53975	-0.47830	0.44685	0.38186	-0.24636	0.45039	0.47124	-0.40461	0.50708	0.30637	-0.20992	0.54880
30	0.34385	0.01884	-0.23645	0.05813	0.52238	0.05082	0.48312	0.10108	-0.40648	0.08883	0.49432	0.08347	0.38779	-0.27779	0.63627	0.36400	-0.31933	0.53850	0.34769	-0.20117	0.52536	0.41142	-0.38939	0.47106	0.63823	-0.51458	0.43265	0.52449	-0.45934	0.43627	0.34523	-0.23372	0.45242	0.45365	-0.39128	0.49532	0.31850	-0.19157	0.57322
31	0.35328	0.06402	-0.24121	0.04679	0.53578	0.05433	0.45631	0.08850	-0.38335	0.07853	0.49857	0.09482	0.37453	-0.26778	0.66090	0.32341	-0.29040	0.55809	0.32203	-0.18932	0.53401	0.38301	-0.36705	0.47650	0.58483	-0.47484	0.42712	0.50423	-0.43403	0.43541	0.31842	-0.21560	0.46169	0.43497	-0.37306	0.49290	0.44925	-0.26950	0.58932
32	0.31918	0.04743	-0.21415	0.03593	0.55557	0.05656	0.46118	0.14908	-0.37320	0.09836	0.51380	0.10343	0.35244	-0.25134	0.69278	0.28776	-0.25565	0.58389	0.29984	-0.17639	0.55182	0.35264	-0.34007	0.49022	0.71120	-0.51911	0.44164	0.47835	-0.40439	0.44455	0.29930	-0.19335	0.47818	0.41126	-0.35110	0.49980	0.38984	-0.23121	0.60839
33	0.29336	0.04640	-0.18735	0.02589	0.58260	0.05867	0.37246	0.05399	-0.31722	0.05507	0.53344	0.11462	0.32299	-0.22858	0.73103	0.25213	-0.21557	0.61545	0.27926	-0.16328	0.57807	0.31690	-0.30879	0.51183	0.39862	-0.35073	0.44467	0.44603	-0.37202	0.46375	0.28212	-0.16757	0.50199	0.37777	-0.32597	0.51594	0.35994	-0.20297	0.63486
34	0.26492	0.04746	-0.15695	0.01501	0.61610	0.06015	0.34153	0.06396	-0.28984	0.05796	0.56460	0.12093	0.28782	-0.19929	0.77436	0.21204	-0.17070	0.65197	0.25896	-0.15076	0.61176	0.27294	-0.27325	0.54079	0.40833	-0.34049	0.47393	0.40653	-0.33809	0.49275	0.26119	-0.13868	0.53307	0.33204	-0.29807	0.54114	0.32747	-0.16766	0.66762
35	0.23215	0.05327	-0.12449	0.01370	0.65512	0.06065	0.31181	0.09627	-0.26384	0.07120	0.60366	0.12458	0.24821	-0.16322	0.82118	0.16433	-0.12205	0.69231	0.23675	-0.13954	0.65160	0.21997	-0.23346	0.57648	0.45659	-0.35125	0.51471	0.35944	-0.30348	0.53092	0.23300	-0.10698	0.57092	0.27483	-0.26781	0.57502	0.29453	-0.12939	0.70564
36	0.19202	0.06281	-0.09076	0.02744	0.69837	0.05999	0.24615	0.07963	-0.22089	0.06772	0.64794	0.12680	0.20546	-0.12051	0.86992	0.10630	-0.07121	0.73520	0.20796	-0.13012	0.69619	0.15900	-0.18951	0.61810	0.35201	-0.28985	0.55746	0.30545	-0.26894	0.57726	0.19692	-0.07275	0.61459	0.20885	-0.23563	0.61694	0.25691	-0.08896	0.74751
37	0.14333	0.07466	-0.05682	0.04536	0.74449	0.05816	0.18492	0.07943	-0.17977	0.07298	0.69835	0.12571	0.16157	-0.07183	0.91933	0.03796	-0.02028	0.77945	0.16883	-0.12272	0.74404	0.09244	-0.14160	0.66475	0.28535	-0.24769	0.61119	0.24707	-0.23510	0.63051	0.15343	-0.03652	0.66270	0.13815	-0.20261	0.66597	0.21309	-0.04776	0.79178
38	0.08765	0.08686	-0.02375	0.06419	0.79220	0.05537	0.12116	0.07765	-0.13629	0.07999	0.75317	0.12199	0.11848	-0.01831	0.96846	-0.03687	0.02870	0.82417	0.12086	-0.11723	0.79374	0.02430	-0.09044	0.71537	0.20744	-0.19962	0.67178	0.18779	-0.20251	0.68927	0.10283	0.00077	0.71376	0.06781	-0.17059	0.72096	0.16378	-0.00726	0.83714
39	0.02843	0.09776	0.00774	0.08255	0.84046	0.05187	0.06070	0.07829	-0.09302	0.09026	0.81128	0.11589	0.07683	0.03870	1.01657	-0.11262	0.07421	0.86876	0.06887	-0.11284	0.84402	-0.04088	-0.03749	0.76885	0.13565	-0.15334	0.73834	0.13026	-0.17164	0.75203	0.04643	0.03809	0.76644	0.00166	-0.14133	0.78062	0.11101	0.03151	0.88262
40	-0.03055	0.10674	0.03760	0.09924	0.88848	0.04791	0.00344	0.07895	-0.05043	0.10279	0.87130	0.10788	0.03572	0.09763	1.06292	-0.18472	0.11550	0.91278	0.01638	-0.10790	0.89389	-0.10050	0.01563	0.82394	0.06631	-0.10710	0.80878	0.07528	-0.14275	0.81730	-0.01199	0.07487	0.81966	-0.05962	-0.11555	0.84358	0.05813	0.06792	0.92760
