	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
27	0.28598	0.09859	0.00812	0.07891	-0.09104	0.02803	0.45697	0.12349	0.02765	0.06400	-0.11144	0.04512	0.51704	0.02578	-0.13857	0.19020	-0.06904	-0.12196	0.29297	-0.06221	-0.11726	0.28059	0.00474	-0.06731	0.57909	0.07203	-0.14394	0.38716	0.08867	-0.08384	0.43877	0.07498	-0.04600
28	0.26366	0.09483	0.00710	0.07990	-0.09193	0.02903	0.43348	0.12162	0.01649	0.06344	-0.11567	0.04436	0.49326	0.01033	-0.14271	0.17014	-0.07204	-0.12379	0.27149	-0.07085	-0.12206	0.26108	0.00561	-0.06696	0.55291	0.05897	-0.14676	0.35974	0.08774	-0.08505	0.41625	0.06752	-0.05114
29	0.24142	0.09268	0.00672	0.08095	-0.09026	0.03246	0.41203	0.11995	0.00781	0.06325	-0.11807	0.04466	0.47335	-0.00107	-0.14704	0.14818	-0.07500	-0.12549	0.25173	-0.07790	-0.12456	0.24254	0.00828	-0.06158	0.52788	0.04788	-0.14762	0.33353	0.08688	-0.08370	0.39518	0.06233	-0.05304
30	0.22084	0.09247	0.00642	0.08218	-0.08669	0.03745	0.39216	0.11859	0.00120	0.06337	-0.11842	0.04575	0.45586	-0.00912	-0.15090	0.12585	-0.07827	-0.12700	0.23244	-0.08362	-0.12472	0.22610	0.01171	-0.05296	0.50347	0.03831	-0.14611	0.31057	0.08583	-0.08010	0.37687	0.05923	-0.05196
31	0.20276	0.09408	0.00550	0.08368	-0.08230	0.04301	0.37370	0.11697	-0.00380	0.06368	-0.11692	0.04725	0.44001	-0.01452	-0.15377	0.10447	-0.08230	-0.12849	0.21429	-0.08822	-0.12284	0.21184	0.01448	-0.04340	0.47900	0.02969	-0.14240	0.29198	0.08433	-0.07501	0.36149	0.05786	-0.04868
32	0.18751	0.09698	0.00330	0.08548	-0.07834	0.04823	0.35683	0.11450	-0.00754	0.06418	-0.11414	0.04880	0.42523	-0.01802	-0.15549	0.08511	-0.08757	-0.13039	0.19856	-0.09179	-0.11952	0.19948	0.01537	-0.03516	0.45452	0.02160	-0.13724	0.27795	0.08209	-0.06949	0.34902	0.05805	-0.04433
33	0.17545	0.10042	-0.00046	0.08748	-0.07599	0.05247	0.34233	0.11150	-0.01019	0.06499	-0.11093	0.05007	0.41152	-0.02022	-0.15623	0.06873	-0.09422	-0.13317	0.18569	-0.09434	-0.11558	0.18952	0.01386	-0.03004	0.43160	0.01396	-0.13178	0.26810	0.07899	-0.06475	0.34050	0.05985	-0.04013
34	0.16688	0.10415	-0.00566	0.08969	-0.07607	0.05546	0.33128	0.10889	-0.01174	0.06617	-0.10822	0.05086	0.39998	-0.02137	-0.15651	0.05553	-0.10214	-0.13724	0.17558	-0.09577	-0.11189	0.18320	0.01001	-0.02908	0.41236	0.00683	-0.12734	0.26191	0.07517	-0.06189	0.33721	0.06334	-0.03716
35	0.16194	0.10771	-0.01191	0.09200	-0.07897	0.05725	0.32462	0.10745	-0.01221	0.06764	-0.10688	0.05116	0.39230	-0.02146	-0.15702	0.04597	-0.11095	-0.14289	0.16843	-0.09594	-0.10918	0.18101	0.00435	-0.03241	0.39838	0.00030	-0.12514	0.25883	0.07088	-0.06163	0.33935	0.06825	-0.03618
36	0.16023	0.11036	-0.01873	0.09424	-0.08455	0.05819	0.32244	0.10742	-0.01179	0.06916	-0.10751	0.05112	0.38965	-0.02057	-0.15854	0.04058	-0.12009	-0.15017	0.16435	-0.09480	-0.10791	0.18206	-0.00231	-0.03924	0.39002	-0.00570	-0.12605	0.25804	0.06622	-0.06423	0.34573	0.07391	-0.03756
37	0.16080	0.11170	-0.02563	0.09620	-0.09216	0.05873	0.32403	0.10888	-0.01089	0.07046	-0.11049	0.05102	0.39216	-0.01922	-0.16179	0.03905	-0.12902	-0.15885	0.16265	-0.09249	-0.10820	0.18478	-0.00910	-0.04815	0.38697	-0.01132	-0.13054	0.25856	0.06123	-0.06948	0.35434	0.07946	-0.04142
38	0.16223	0.11204	-0.03207	0.09782	-0.10090	0.05921	0.32877	0.11209	-0.00987	0.07147	-0.11598	0.05110	0.40001	-0.01800	-0.16739	0.03965	-0.13724	-0.16835	0.16213	-0.08935	-0.11004	0.18768	-0.01518	-0.05753	0.38866	-0.01655	-0.13864	0.25936	0.05620	-0.07682	0.36428	0.08444	-0.04786
39	0.16305	0.11215	-0.03737	0.09915	-0.10974	0.05978	0.33631	0.11782	-0.00896	0.07252	-0.12407	0.05154	0.41384	-0.01733	-0.17589	0.04001	-0.14415	-0.17786	0.16107	-0.08608	-0.11339	0.18959	-0.01975	-0.06601	0.39376	-0.02146	-0.15000	0.25954	0.05179	-0.08535	0.37659	0.08905	-0.05701
40	0.16224	0.11275	-0.04054	0.10021	-0.11765	0.06046	0.34637	0.12654	-0.00840	0.07394	-0.13477	0.05246	0.43393	-0.01741	-0.18768	0.03830	-0.14872	-0.18638	0.15848	-0.08333	-0.11846	0.18967	-0.02201	-0.07264	0.40079	-0.02634	-0.16403	0.25875	0.04911	-0.09394	0.39228	0.09350	-0.06892
41	0.15958	0.11456	-0.04044	0.10095	-0.12365	0.06124	0.35877	0.13718	-0.00830	0.07570	-0.14799	0.05389	0.45895	-0.01851	-0.20292	0.03348	-0.14970	-0.19292	0.15591	-0.08119	-0.12565	0.18801	-0.02099	-0.07668	0.40943	-0.03125	-0.18002	0.25724	0.04937	-0.10134	0.41077	0.09775	-0.08340
