	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	Mean	Std Dev	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_1_CINE_D.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_2_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_3_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d	2014_04_08_PC014_BAREFOOT_GAIT0004_5_CINE_D&E.c3d
30	-0.05254	0.12478	-0.16250	0.11406	0.72769	0.17238	0.20607	0.18460	-0.21315	0.05790	0.63269	0.10152	0.34627	-0.21148	0.48759	-0.06840	-0.07379	0.56166	-0.00620	-0.15592	0.67952	0.07941	-0.29116	0.90580	0.37425	-0.29282	0.71954	-0.16863	-0.12255	0.71562	0.10998	-0.19238	0.64411
31	-0.06044	0.12877	-0.16165	0.10879	0.74694	0.16658	0.18527	0.18085	-0.22937	0.06012	0.64954	0.09898	0.31599	-0.22714	0.51054	-0.07697	-0.08212	0.58716	-0.02162	-0.17190	0.70038	0.07579	-0.28564	0.91957	0.35627	-0.31285	0.73603	-0.18014	-0.11720	0.73410	0.09044	-0.20559	0.65122
32	-0.06935	0.12991	-0.15851	0.10415	0.76677	0.16131	0.16467	0.17845	-0.24222	0.06249	0.66647	0.09592	0.29036	-0.24119	0.53476	-0.08745	-0.08805	0.61232	-0.03711	-0.18453	0.72065	0.06866	-0.27815	0.93416	0.33711	-0.32930	0.75168	-0.18927	-0.10934	0.75384	0.06831	-0.21387	0.65881
33	-0.08210	0.12803	-0.15321	0.10015	0.78772	0.15648	0.14340	0.17785	-0.25205	0.06515	0.68401	0.09244	0.26840	-0.25358	0.56045	-0.10143	-0.09177	0.63782	-0.05494	-0.19427	0.74065	0.05450	-0.26877	0.95003	0.31653	-0.34267	0.76708	-0.19936	-0.09908	0.77531	0.04363	-0.21768	0.66784
34	-0.10078	0.12410	-0.14567	0.09693	0.81036	0.15191	0.12009	0.17940	-0.25898	0.06836	0.70276	0.08859	0.24758	-0.26412	0.58785	-0.11880	-0.09340	0.66447	-0.07792	-0.20103	0.76082	0.03135	-0.25752	0.96766	0.29428	-0.35336	0.78293	-0.21487	-0.08609	0.79896	0.01642	-0.21739	0.67943
35	-0.12602	0.11860	-0.13591	0.09463	0.83526	0.14741	0.09378	0.18244	-0.26308	0.07225	0.72349	0.08438	0.22553	-0.27267	0.61723	-0.13819	-0.09291	0.69313	-0.10645	-0.20478	0.78179	-0.00181	-0.24440	0.98744	0.26953	-0.36154	0.80002	-0.23807	-0.07042	0.82521	-0.01351	-0.21333	0.69493
36	-0.15710	0.11284	-0.12428	0.09340	0.86290	0.14285	0.06465	0.18601	-0.26449	0.07680	0.74717	0.07975	0.20166	-0.27930	0.64907	-0.15977	-0.09015	0.72447	-0.13881	-0.20548	0.80439	-0.04295	-0.22994	1.00980	0.24179	-0.36727	0.81932	-0.26859	-0.05275	0.85443	-0.04605	-0.20593	0.71591
37	-0.19304	0.10990	-0.11136	0.09364	0.89362	0.13827	0.03342	0.18953	-0.26323	0.08205	0.77496	0.07460	0.17676	-0.28425	0.68408	-0.18620	-0.08488	0.75889	-0.17309	-0.20273	0.82970	-0.08672	-0.21539	1.03517	0.21090	-0.37046	0.84195	-0.30620	-0.03381	0.88680	-0.08091	-0.19546	0.74411
38	-0.23422	0.11193	-0.09747	0.09560	0.92755	0.13388	0.00001	0.19216	-0.25894	0.08803	0.80813	0.06896	0.15052	-0.28756	0.72310	-0.22032	-0.07708	0.79640	-0.20710	-0.19613	0.85907	-0.12988	-0.20162	1.06400	0.17600	-0.37064	0.86911	-0.35245	-0.01371	0.92223	-0.11940	-0.18143	0.78125
39	-0.28251	0.11784	-0.08251	0.09894	0.96440	0.13001	-0.03617	0.19325	-0.25107	0.09483	0.84779	0.06316	0.12030	-0.28894	0.76688	-0.26384	-0.06689	0.83657	-0.23873	-0.18555	0.89387	-0.17511	-0.18834	1.09648	0.13765	-0.36703	0.90189	-0.40856	0.00769	0.96015	-0.16390	-0.16275	0.82850
40	-0.33876	0.12406	-0.06638	0.10289	1.00339	0.12686	-0.07557	0.19358	-0.23920	0.10259	0.89447	0.05794	0.08314	-0.28814	0.81592	-0.31706	-0.05475	0.87854	-0.26928	-0.17064	0.93504	-0.22698	-0.17460	1.13218	0.09861	-0.35921	0.94114	-0.47223	0.03020	0.99945	-0.21475	-0.13882	0.88580
41	-0.40111	0.12632	-0.04918	0.10681	1.04314	0.12443	-0.11909	0.19484	-0.22324	0.11132	0.94781	0.05403	0.03798	-0.28526	0.87028	-0.37958	-0.04114	0.92107	-0.30434	-0.15073	0.98248	-0.28693	-0.15978	1.16980	0.06009	-0.34684	0.98695	-0.53680	0.05338	1.03855	-0.27008	-0.11012	0.95154
42	-0.46669	0.12224	-0.03077	0.11047	1.08170	0.12249	-0.16844	0.19807	-0.20334	0.12084	1.00646	0.05171	-0.01436	-0.28059	0.92952	-0.45074	-0.02610	0.96250	-0.34963	-0.12558	1.03491	-0.35321	-0.14349	1.20722	0.01941	-0.32968	1.03840	-0.59613	0.07729	1.07537	-0.32918	-0.07752	1.02301
43	-0.53330	0.11368	-0.01074	0.11383	1.11662	0.12067	-0.22505	0.20268	-0.18011	0.13080	1.06835	0.05057	-0.07238	-0.27438	0.99260	-0.52829	-0.00938	1.00083	-0.40654	-0.09620	1.09020	-0.42221	-0.12524	1.24163	-0.02818	-0.30786	1.09362	-0.64940	0.10240	1.10739	-0.39308	-0.04200	1.09697
44	-0.59774	0.10510	0.01132	0.11670	1.14516	0.11854	-0.28890	0.20729	-0.15455	0.14067	1.13110	0.04983	-0.13469	-0.26683	1.05805	-0.60559	0.00905	1.03381	-0.47289	-0.06443	1.14591	-0.48893	-0.10424	1.26977	-0.08583	-0.28203	1.15025	-0.69869	0.12913	1.13192	-0.46220	-0.00493	1.17018
45	-0.65587	0.09967	0.03593	0.11873	1.16454	0.11562	-0.35890	0.21107	-0.12785	0.15000	1.19225	0.04881	-0.19994	-0.25811	1.12390	-0.67401	0.02947	1.05919	-0.54574	-0.03213	1.19971	-0.54838	-0.07944	1.28824	-0.15379	-0.25337	1.20586	-0.74522	0.15775	1.14619	-0.53613	0.03220	1.23952
46	-0.70461	0.09762	0.06385	0.11949	1.17214	0.11153	-0.43278	0.21433	-0.10110	0.15864	1.24930	0.04704	-0.26635	-0.24847	1.18772	-0.72816	0.05276	1.07485	-0.62233	-0.00070	1.24933	-0.59737	-0.04972	1.29386	-0.22898	-0.22356	1.25828	-0.78831	0.18849	1.14771	-0.61346	0.06833	1.30188
47	-0.74238	0.09765	0.09573	0.11852	1.16575	0.10604	-0.50768	0.21769	-0.07505	0.16671	1.29969	0.04412	-0.33233	-0.23813	1.24677	-0.76671	0.07980	1.07890	-0.69999	0.02899	1.29242	-0.63487	-0.01402	1.28392	-0.30647	-0.19421	1.30551	-0.82557	0.22141	1.13442	-0.69195	0.10315	1.35403
48	-0.76819	0.09833	0.13169	0.11540	1.14369	0.09916	-0.58092	0.22143	-0.04999	0.17433	1.34071	0.03966	-0.39667	-0.22731	1.29826	-0.79065	0.11089	1.06984	-0.77650	0.05668	1.32646	-0.66058	0.02811	1.25640	-0.38184	-0.16609	1.34553	-0.85335	0.25608	1.10482	-0.76869	0.13676	1.39258
49	-0.78140	0.09907	0.17113	0.10997	1.10494	0.09131	-0.65084	0.22509	-0.02569	0.18162	1.36965	0.03354	-0.45866	-0.21602	1.33949	-0.80121	0.14582	1.04661	-0.84998	0.08279	1.34876	-0.67392	0.07602	1.21017	-0.45322	-0.13906	1.37615	-0.86907	0.29154	1.05805	-0.84151	0.16952	1.41421
50	-0.78248	0.10027	0.21271	0.10233	1.04923	0.08338	-0.71627	0.22759	-0.00159	0.18851	1.38397	0.02681	-0.51754	-0.20409	1.36800	-0.80021	0.18395	1.00856	-0.91852	0.10822	1.35668	-0.67453	0.12783	1.14514	-0.52089	-0.11216	1.39508	-0.87270	0.32635	0.99400	-0.90815	0.20167	1.41612
51	-0.77301	0.10216	0.25439	0.09270	0.97712	0.07676	-0.77538	0.22807	0.02297	0.19475	1.38155	0.02374	-0.57173	-0.19103	1.38172	-0.78948	0.22391	0.95558	-0.98003	0.13410	1.34800	-0.66362	0.18076	1.06234	-0.58423	-0.08425	1.40014	-0.86594	0.35849	0.91342	-0.96552	0.23308	1.39635
52	-0.75565	0.10418	0.29350	0.08115	0.89005	0.07296	-0.82558	0.22609	0.04856	0.19995	1.36096	0.03052	-0.61926	-0.17610	1.37917	-0.77049	0.26357	0.88826	-1.03228	0.16153	1.32102	-0.64485	0.23157	0.96390	-0.64092	-0.05445	1.38960	-0.85162	0.38537	0.81801	-1.00987	0.26325	1.35404
